Candidatura;Provincia;Candidatos;Nombre y Apellidos;twitter;web;facebook
;Pontevedra;1;Yolanda Díaz Pérez;;;
CCa-PNC - COALICION CANARIA-PARTIDO NACIONALISTA CANARIO;;;;@PNCanarias;;
;Santa Cruz de Tenerife;2;Ana María Oramas González-Moro;;;
;;;María Guadalupe González Taño;;;
NA+ - NAVARRA SUMA;;;;;;
;Navarra;2;Sergio Sayas López;;;
;;;Carlos García Adanero;;;
COMPROMÍS 2 - COMPROMÍS: BLOC-INICIATIVA-VERDSEQUO;;;;@compromis;;
;Valencia / València;1;Joan Baldoví Roda;;;
PRC - PARTIDO REGIONALISTA DE CANTABRIA;;;;@prcantabria;;
;Cantabria;1;José María Ángel Mazón Ramos;;;
;;;;@iunida;;
;;;;@Equo;;
;;;;@SobiranistesCat;;
;;;;@CatEnComu;;
;;;;@EnComun_Gal;;
;;;;@navarra_suma;;
;;;;@PartidoPACMA;;
;;;;@Front_Republica;;
;;;;@obloque;;
;;;;@RecortesCero;;
;;;;@reaccionayactua;;
;;;;@MESperMallorca;;
;;;;@geroabai;;
;;;;@mundo_mas_justo;;
;;;;@En_Marea;;
;;;;@infopcte;;
;;;;@ElPi_IB;;
;;;;@AndaluciaxSi;;
;;;;@PCOE_estatal;;
;;;;@webpcpe;;
;;;;@AvantLosVerdes;;
